# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-5 8 11 ffac0f
-4 8 11 ffac0f
-3 8 11 ffac0f
-2 8 11 ffac0f
-1 8 11 ffac0f
-6 9 11 ffac0f
-5 9 11 ffac0f
-4 9 11 ffac0f
-3 9 11 ffac0f
-2 9 11 ffac0f
-1 9 11 ffac0f
-5 10 11 ffac0f
-4 10 11 ffac0f
-3 10 11 ffac0f
-2 10 11 ffac0f
-1 10 11 ffac0f
-4 11 11 ffac0f
-3 11 11 ffac0f
-2 11 11 ffac0f
-1 11 11 ffac0f
-2 12 11 ffac0f
-1 12 11 ffac0f
-7 0 12 ffac0f
-6 0 12 ffac0f
-5 0 12 ffac0f
-4 0 12 ffac0f
-3 0 12 ffac0f
-2 0 12 ffac0f
-1 0 12 ffac0f
-7 1 12 ffac0f
-6 1 12 ffac0f
-5 1 12 ffac0f
-4 1 12 ffac0f
-3 1 12 ffac0f
-2 1 12 ffac0f
-1 1 12 ffac0f
-8 2 12 ffac0f
-7 2 12 ffac0f
-6 2 12 ffac0f
-5 2 12 ffac0f
-4 2 12 ffac0f
-3 2 12 ffac0f
-2 2 12 ffac0f
-1 2 12 ffac0f
-8 3 12 ffac0f
-7 3 12 ffac0f
-6 3 12 ffac0f
-5 3 12 ffac0f
-4 3 12 ffac0f
-3 3 12 ffac0f
-2 3 12 ffac0f
-1 3 12 ffac0f
-8 4 12 ffac0f
-7 4 12 ffac0f
-6 4 12 ffac0f
-5 4 12 ffac0f
-4 4 12 ffac0f
-3 4 12 ffac0f
-2 4 12 ffac0f
-1 4 12 ffac0f
-8 5 12 ffac0f
-7 5 12 ffac0f
-6 5 12 ffac0f
-5 5 12 ffac0f
-4 5 12 ffac0f
-3 5 12 ffac0f
-2 5 12 ffac0f
-1 5 12 ffac0f
-8 6 12 ffac0f
-7 6 12 ffac0f
-6 6 12 ffac0f
-5 6 12 ffac0f
-4 6 12 ffac0f
-3 6 12 ffac0f
-2 6 12 ffac0f
-1 6 12 ffac0f
-7 7 12 ffac0f
-6 7 12 ffac0f
-5 7 12 ffac0f
-4 7 12 ffac0f
-3 7 12 ffac0f
-2 7 12 ffac0f
-1 7 12 ffac0f
-7 8 12 ffac0f
-6 8 12 ffac0f
-5 8 12 ffac0f
-4 8 12 ffac0f
-3 8 12 ffac0f
-2 8 12 ffac0f
-1 8 12 ffac0f
-6 9 12 ffac0f
-5 9 12 ffac0f
-4 9 12 ffac0f
-3 9 12 ffac0f
-2 9 12 ffac0f
-1 9 12 ffac0f
-5 10 12 ffac0f
-4 10 12 ffac0f
-3 10 12 ffac0f
-2 10 12 ffac0f
-1 10 12 ffac0f
-4 11 12 ffac0f
-3 11 12 ffac0f
-2 11 12 ffac0f
-1 11 12 ffac0f
-2 12 12 ffac0f
-1 12 12 ffac0f
-7 0 13 ffac0f
-6 0 13 ffac0f
-5 0 13 ffac0f
-4 0 13 ffac0f
-3 0 13 ffac0f
-2 0 13 ffac0f
-1 0 13 ffac0f
-7 1 13 ffac0f
-6 1 13 ffac0f
-5 1 13 ffac0f
-4 1 13 ffac0f
-3 1 13 ffac0f
-2 1 13 ffac0f
-1 1 13 ffac0f
-8 2 13 ffac0f
-7 2 13 ffac0f
-6 2 13 ffac0f
-5 2 13 ffac0f
-4 2 13 ffac0f
-3 2 13 ffac0f
-2 2 13 ffac0f
-1 2 13 ffac0f
-8 3 13 ffac0f
-7 3 13 ffac0f
-6 3 13 ffac0f
-5 3 13 ffac0f
-4 3 13 ffac0f
-3 3 13 ffac0f
-2 3 13 ffac0f
-1 3 13 ffac0f
-8 4 13 ffac0f
-7 4 13 ffac0f
-6 4 13 ffac0f
-5 4 13 ffac0f
-4 4 13 ffac0f
-3 4 13 ffac0f
-2 4 13 ffac0f
-1 4 13 ffac0f
-8 5 13 ffac0f
-7 5 13 ffac0f
-6 5 13 ffac0f
-5 5 13 ffac0f
-4 5 13 ffac0f
-3 5 13 ffac0f
-2 5 13 ffac0f
-1 5 13 ffac0f
-8 6 13 ffac0f
-7 6 13 ffac0f
-6 6 13 ffac0f
-5 6 13 ffac0f
-4 6 13 ffac0f
-3 6 13 ffac0f
-2 6 13 ffac0f
-1 6 13 ffac0f
-7 7 13 ffac0f
-6 7 13 ffac0f
-5 7 13 ffac0f
-4 7 13 ffac0f
-3 7 13 ffac0f
-2 7 13 ffac0f
-1 7 13 ffac0f
-7 8 13 ffac0f
-6 8 13 ffac0f
-5 8 13 ffac0f
-4 8 13 ffac0f
-3 8 13 ffac0f
-2 8 13 ffac0f
-1 8 13 ffac0f
-6 9 13 ffac0f
-5 9 13 ffac0f
-4 9 13 ffac0f
-3 9 13 ffac0f
-2 9 13 ffac0f
-1 9 13 ffac0f
-5 10 13 ffac0f
-4 10 13 ffac0f
-3 10 13 ffac0f
-2 10 13 ffac0f
-1 10 13 ffac0f
-4 11 13 ffac0f
-3 11 13 ffac0f
-2 11 13 ffac0f
-1 11 13 ffac0f
-2 12 13 ffac0f
-1 12 13 ffac0f
-7 0 14 ffac0f
-6 0 14 ffac0f
-5 0 14 ffac0f
-4 0 14 ffac0f
-3 0 14 ffac0f
-2 0 14 ffac0f
-1 0 14 ffac0f
-7 1 14 ffac0f
-6 1 14 ffac0f
-5 1 14 ffac0f
-4 1 14 ffac0f
-3 1 14 ffac0f
-2 1 14 ffac0f
-1 1 14 ffac0f
-8 2 14 ffac0f
-7 2 14 ffac0f
-6 2 14 ffac0f
-5 2 14 ffac0f
-4 2 14 ffac0f
-3 2 14 ffac0f
-2 2 14 ffac0f
-1 2 14 ffac0f
-8 3 14 ffac0f
-7 3 14 ffac0f
-6 3 14 ffac0f
-5 3 14 ffac0f
-4 3 14 ffac0f
-3 3 14 ffac0f
-2 3 14 ffac0f
-1 3 14 ffac0f
-8 4 14 ffac0f
-7 4 14 ffac0f
-6 4 14 ffac0f
-5 4 14 ffac0f
-4 4 14 ffac0f
-3 4 14 ffac0f
-2 4 14 ffac0f
-1 4 14 ffac0f
-8 5 14 ffac0f
-7 5 14 ffac0f
-6 5 14 ffac0f
-5 5 14 ffac0f
-4 5 14 ffac0f
-3 5 14 ffac0f
-2 5 14 ffac0f
-1 5 14 ffac0f
-8 6 14 ffac0f
-7 6 14 ffac0f
-6 6 14 ffac0f
-5 6 14 ffac0f
-4 6 14 ffac0f
-3 6 14 ffac0f
-2 6 14 ffac0f
-1 6 14 ffac0f
-7 7 14 ffac0f
-6 7 14 ffac0f
-5 7 14 ffac0f
-4 7 14 ffac0f
-3 7 14 ffac0f
-2 7 14 ffac0f
-1 7 14 ffac0f
-7 8 14 ffac0f
-6 8 14 ffac0f
-5 8 14 ffac0f
-4 8 14 ffac0f
-3 8 14 ffac0f
-2 8 14 ffac0f
-1 8 14 ffac0f
-6 9 14 ffac0f
-5 9 14 ffac0f
-4 9 14 ffac0f
-3 9 14 ffac0f
-2 9 14 ffac0f
-1 9 14 ffac0f
-5 10 14 ffac0f
-4 10 14 ffac0f
-3 10 14 ffac0f
-2 10 14 ffac0f
-1 10 14 ffac0f
-4 11 14 ffac0f
-3 11 14 ffac0f
-2 11 14 ffac0f
-1 11 14 ffac0f
-2 12 14 ffac0f
-1 12 14 ffac0f
-6 0 15 ff9800
-5 0 15 ff9800
-4 0 15 ff9800
-3 0 15 ff9800
-2 0 15 ff9800
-1 0 15 ff9800
-6 1 15 ff9800
-5 1 15 ff9800
-4 1 15 ff9800
-3 1 15 ff9800
-2 1 15 ff9800
-1 1 15 ff9800
-7 2 15 ff9800
-6 2 15 ff9800
-5 2 15 ff9800
-4 2 15 ff9800
-3 2 15 ff9800
-2 2 15 ff9800
-1 2 15 ff9800
-7 3 15 ff9800
-6 3 15 ff9800
-5 3 15 ff9800
-4 3 15 ff9800
-3 3 15 ff9800
-2 3 15 ff9800
-1 3 15 ff9800
-7 4 15 ff9800
-6 4 15 ff9800
-5 4 15 ff9800
-4 4 15 ff9800
-3 4 15 ff9800
-2 4 15 ff9800
-1 4 15 ff9800
-7 5 15 ff9800
-6 5 15 ff9800
-5 5 15 ff9800
-4 5 15 ff9800
-3 5 15 ff9800
-2 5 15 ff9800
-1 5 15 ff9800
-7 6 15 ff9800
-6 6 15 ff9800
-5 6 15 ff9800
-4 6 15 ff9800
-3 6 15 ff9800
-2 6 15 ff9800
-1 6 15 ff9800
-6 7 15 ff9800
-5 7 15 ff9800
-4 7 15 ff9800
-3 7 15 ff9800
-2 7 15 ff9800
-1 7 15 ff9800
-6 8 15 ff9800
-5 8 15 ff9800
-4 8 15 ff9800
-3 8 15 ff9800
-2 8 15 ff9800
-1 8 15 ff9800
-5 9 15 ff9800
-4 9 15 ff9800
-3 9 15 ff9800
-2 9 15 ff9800
-1 9 15 ff9800
-4 10 15 ff9800
-3 10 15 ff9800
-2 10 15 ff9800
-1 10 15 ff9800
-2 11 15 ff9800
-1 11 15 ff9800
0 2 5 ff9800
1 2 5 ff9800
0 3 5 ff9800
1 3 5 ff9800
0 4 5 ff9800
1 4 5 ff9800
0 5 5 ff9800
1 5 5 ff9800
0 6 5 ff9800
1 6 5 ff9800
0 0 6 ff9800
1 0 6 ff9800
0 1 6 ff9800
1 1 6 ff9800
2 1 6 ff9800
0 2 6 ff9800
1 2 6 ff9800
2 2 6 ff9800
0 3 6 ff9800
1 3 6 ff9800
2 3 6 ff9800
3 3 6 ff9800
0 4 6 ff9800
1 4 6 ff9800
2 4 6 ff9800
3 4 6 ff9800
0 5 6 ff9800
1 5 6 ff9800
2 5 6 ff9800
3 5 6 ff9800
0 6 6 ff9800
1 6 6 ff9800
2 6 6 ff9800
0 7 6 ff9800
1 7 6 ff9800
2 7 6 ff9800
0 8 6 ff9800
0 0 7 ff9800
1 0 7 ff9800
2 0 7 ff9800
3 0 7 ff9800
0 1 7 ff9800
1 1 7 ff9800
2 1 7 ff9800
3 1 7 ff9800
0 2 7 ff9800
1 2 7 ff9800
2 2 7 ff9800
3 2 7 ff9800
4 2 7 ff9800
0 3 7 ff9800
1 3 7 ff9800
2 3 7 ff9800
3 3 7 ff9800
4 3 7 ff9800
0 4 7 ff9800
1 4 7 ff9800
2 4 7 ff9800
3 4 7 ff9800
4 4 7 ff9800
0 5 7 ff9800
1 5 7 ff9800
2 5 7 ff9800
3 5 7 ff9800
4 5 7 ff9800
0 6 7 ff9800
1 6 7 ff9800
2 6 7 ff9800
3 6 7 ff9800
4 6 7 ff9800
0 7 7 ff9800
1 7 7 ff9800
2 7 7 ff9800
3 7 7 ff9800
