# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-8 -2 16 fa0a21
-7 -2 16 f3a4a4
-6 -2 16 f3a4a4
-5 -2 16 fa0a21
-14 -1 16 4b6535
-13 -1 16 4b6535
-12 -1 16 962831
-11 -1 16 fa0c21
-10 -1 16 fa0c21
-9 -1 16 f3a4a4
-8 -1 16 f3a4a4
-7 -1 16 f3a4a4
-6 -1 16 fa0a21
-2 -11 17 96282f
-1 -11 17 fa0c21
-4 -10 17 962831
-3 -10 17 fa0a21
-2 -10 17 fa0a21
-1 -10 17 fa0c21
-6 -9 17 96282f
-5 -9 17 c6292d
-4 -9 17 fa0a21
-3 -9 17 fa0c21
-2 -9 17 fa0c21
-1 -9 17 fa0c21
-7 -8 17 962831
-6 -8 17 c6292d
-5 -8 17 fa0c21
-4 -8 17 fa0c21
-3 -8 17 fa0c21
-2 -8 17 fa0c21
-1 -8 17 fa0c21
-8 -7 17 962831
-7 -7 17 c6292d
-6 -7 17 fa0c21
-5 -7 17 fa0c21
-4 -7 17 fa0c21
-3 -7 17 fa0c21
-2 -7 17 fa0c21
-1 -7 17 fa0a21
-9 -6 17 96282f
-8 -6 17 c6292d
-7 -6 17 fa0c21
-6 -6 17 fa0c21
-5 -6 17 fa0c21
-4 -6 17 fa0c21
-3 -6 17 fa0c21
-2 -6 17 fa0a21
-1 -6 17 fa0c21
-10 -5 17 962831
-9 -5 17 c6292d
-8 -5 17 fa0c21
-7 -5 17 fa0c21
-6 -5 17 fa0c21
-5 -5 17 fa0c21
-4 -5 17 fa0c21
-3 -5 17 fa0c21
-2 -5 17 fa0a21
-11 -4 17 96282f
-10 -4 17 c6292d
-9 -4 17 fa0a21
-8 -4 17 fa0c21
-7 -4 17 fa0c21
-6 -4 17 fa0c21
-5 -4 17 fa0c21
-4 -4 17 fa0c21
-3 -4 17 fa0c21
-12 -3 17 96282f
-11 -3 17 c6292d
-10 -3 17 fa0c21
-9 -3 17 fa0a21
-8 -3 17 fa0c21
-7 -3 17 fa0c21
-6 -3 17 fa0c21
-5 -3 17 f3a4a4
-4 -3 17 fa0c21
-14 -2 17 4b6535
-13 -2 17 96282f
-12 -2 17 c6292d
-11 -2 17 fa0c21
-10 -2 17 fa0c21
-9 -2 17 fa0a21
-8 -2 17 fa0a21
-7 -2 17 f3a4a4
-6 -2 17 f3a4a4
-5 -2 17 fa0a21
-14 -1 17 4b6535
-13 -1 17 4b6535
-12 -1 17 962831
-11 -1 17 fa0c21
-10 -1 17 fa0c21
-9 -1 17 f3a4a4
-8 -1 17 f3a4a4
-7 -1 17 f3a4a4
-6 -1 17 fa0a21
-1 -11 18 fa0c21
-3 -10 18 fa0a21
-2 -10 18 fa0a21
-1 -10 18 fa0c21
-5 -9 18 c6292d
-4 -9 18 fa0a21
-3 -9 18 fa0c21
-2 -9 18 fa0c21
-1 -9 18 fa0c21
-6 -8 18 c6292d
-5 -8 18 fa0c21
-4 -8 18 fa0c21
-3 -8 18 fa0c21
-2 -8 18 fa0c21
-1 -8 18 fa0c21
-7 -7 18 c6292d
-6 -7 18 fa0c21
-5 -7 18 fa0c21
-4 -7 18 fa0c21
-3 -7 18 fa0c21
-2 -7 18 fa0c21
-1 -7 18 fa0a21
-8 -6 18 c6292d
-7 -6 18 fa0c21
-6 -6 18 fa0c21
-5 -6 18 fa0c21
-4 -6 18 fa0c21
-3 -6 18 fa0c21
-2 -6 18 fa0a21
-9 -5 18 c6292d
-8 -5 18 fa0c21
-7 -5 18 fa0c21
-6 -5 18 fa0c21
-5 -5 18 fa0c21
-4 -5 18 fa0c21
-3 -5 18 fa0c21
-10 -4 18 c6292d
-9 -4 18 fa0a21
-8 -4 18 fa0c21
-7 -4 18 fa0c21
-6 -4 18 fa0c21
-5 -4 18 fa0c21
-4 -4 18 fa0c21
-11 -3 18 c6292d
-10 -3 18 fa0c21
-9 -3 18 fa0a21
-8 -3 18 fa0c21
-7 -3 18 fa0c21
-6 -3 18 fa0c21
-5 -3 18 f3a4a4
-12 -2 18 c6292d
-11 -2 18 fa0c21
-10 -2 18 fa0c21
-9 -2 18 fa0a21
-8 -2 18 fa0a21
-7 -2 18 f3a4a4
-6 -2 18 f3a4a4
-13 -1 18 4b6535
-11 -1 18 fa0c21
-10 -1 18 fa0c21
-9 -1 18 f3a4a4
-8 -1 18 f3a4a4
-7 -1 18 f3a4a4
-1 -11 19 fa0c21
-3 -10 19 fa0a21
-2 -10 19 fa0a21
-1 -10 19 fa0c21
-5 -9 19 c6292d
-4 -9 19 fa0a21
-3 -9 19 fa0c21
-2 -9 19 fa0c21
-1 -9 19 fa0c21
-6 -8 19 c6292d
-5 -8 19 fa0c21
-4 -8 19 fa0c21
-3 -8 19 fa0c21
-2 -8 19 fa0c21
-1 -8 19 fa0c21
-7 -7 19 c6292d
-6 -7 19 fa0c21
-5 -7 19 fa0c21
-4 -7 19 fa0c21
-3 -7 19 fa0c21
-2 -7 19 fa0c21
-1 -7 19 fa0a21
-8 -6 19 c6292d
-7 -6 19 fa0c21
-6 -6 19 fa0c21
-5 -6 19 fa0c21
-4 -6 19 fa0c21
-3 -6 19 fa0c21
-2 -6 19 fa0a21
-9 -5 19 c6292d
-8 -5 19 fa0c21
-7 -5 19 fa0c21
-6 -5 19 fa0c21
-5 -5 19 fa0c21
-4 -5 19 fa0c21
-3 -5 19 fa0c21
-10 -4 19 c6292d
-9 -4 19 fa0a21
-8 -4 19 fa0c21
-7 -4 19 fa0c21
-6 -4 19 fa0c21
-5 -4 19 fa0c21
-4 -4 19 fa0c21
-11 -3 19 c6292d
-10 -3 19 fa0c21
-9 -3 19 fa0a21
-8 -3 19 fa0c21
-7 -3 19 fa0c21
-6 -3 19 fa0c21
-5 -3 19 f3a4a4
-12 -2 19 c6292d
-11 -2 19 fa0c21
-10 -2 19 fa0c21
-9 -2 19 fa0a21
-8 -2 19 fa0a21
-7 -2 19 f3a4a4
-6 -2 19 f3a4a4
-11 -1 19 fa0c21
-10 -1 19 fa0c21
-9 -1 19 f3a4a4
-8 -1 19 f3a4a4
-7 -1 19 f3a4a4
1 -13 16 96282f
2 -13 16 962831
3 -13 16 962831
4 -13 16 962831
5 -13 16 962831
6 -13 16 962831
7 -13 16 962831
0 -12 16 962831
1 -12 16 96282f
2 -12 16 fa0c21
3 -12 16 fa0c21
4 -12 16 fa0c21
5 -12 16 fa0c21
6 -12 16 fa0c21
7 -12 16 fa0c21
8 -12 16 962831
0 -11 16 fa0c21
1 -11 16 fa0a21
2 -11 16 fa0c21
3 -11 16 fa0c21
4 -11 16 c6292d
5 -11 16 c6292d
6 -11 16 c6292d
7 -11 16 c6292d
8 -11 16 c6292d
9 -11 16 962831
0 -10 16 fa0c21
1 -10 16 fa0c21
2 -10 16 fa0c21
3 -10 16 c6292d
9 -10 16 962831
0 -9 16 fa0c21
1 -9 16 fa0a21
2 -9 16 c6292d
0 -8 16 fa0c21
1 -8 16 c6292d
0 -7 16 c6292d
3 -13 17 962831
4 -13 17 962831
0 -12 17 96282f
1 -12 17 96282f
2 -12 17 fa0c21
3 -12 17 fa0c21
4 -12 17 fa0c21
5 -12 17 fa0c21
6 -12 17 fa0c21
7 -12 17 fa0c21
0 -11 17 fa0c21
1 -11 17 fa0a21
2 -11 17 fa0c21
3 -11 17 fa0c21
4 -11 17 c6292d
5 -11 17 c6292d
8 -11 17 c6292d
0 -10 17 fa0c21
1 -10 17 fa0c21
2 -10 17 fa0c21
3 -10 17 c6292d
0 -9 17 fa0c21
1 -9 17 fa0a21
2 -9 17 c6292d
0 -8 17 fa0c21
1 -8 17 c6292d
0 -7 17 c6292d
2 -12 18 fa0c21
3 -12 18 fa0c21
4 -12 18 fa0c21
5 -12 18 fa0c21
0 -11 18 fa0c21
1 -11 18 fa0a21
2 -11 18 fa0c21
3 -11 18 fa0c21
0 -10 18 fa0c21
1 -10 18 fa0c21
2 -10 18 fa0c21
0 -9 18 fa0c21
1 -9 18 fa0a21
0 -8 18 fa0c21
2 -12 19 fa0c21
3 -12 19 fa0c21
4 -12 19 fa0c21
5 -12 19 fa0c21
0 -11 19 fa0c21
1 -11 19 fa0a21
2 -11 19 fa0c21
3 -11 19 fa0c21
0 -10 19 fa0c21
1 -10 19 fa0c21
2 -10 19 fa0c21
0 -9 19 fa0c21
1 -9 19 fa0a21
0 -8 19 fa0c21
-14 0 16 4b6535
-13 0 16 668a37
-12 0 16 4b6535
-11 0 16 96282f
-10 0 16 fa0c21
-9 0 16 f3a4a4
-8 0 16 f3a4a4
-7 0 16 fa0c21
-14 1 16 4b6535
-13 1 16 4b6535
-12 1 16 668a37
-11 1 16 668a37
-10 1 16 962831
-9 1 16 fa0c21
-8 1 16 fa0a21
-13 2 16 668a37
-12 2 16 4b6535
-11 2 16 668a37
-10 2 16 668a37
-9 2 16 962831
-13 3 16 668a37
-12 3 16 668a37
-13 4 16 668a37
-13 5 16 668a37
-13 6 16 668a37
-11 6 16 668a37
-13 7 16 668a37
-12 7 16 668a37
-11 7 16 668a37
-14 0 17 668a37
-13 0 17 668a37
-12 0 17 4b6535
-11 0 17 96282f
-10 0 17 fa0c21
-9 0 17 f3a4a4
-8 0 17 f3a4a4
-7 0 17 fa0c21
-13 1 17 4b6535
-12 1 17 668a37
-11 1 17 668a37
-10 1 17 962831
-9 1 17 fa0c21
-8 1 17 fa0a21
-13 2 17 668a37
-12 2 17 4b6535
-11 2 17 668a37
-10 2 17 668a37
-9 2 17 962831
-13 3 17 668a37
-12 3 17 668a37
-13 0 18 668a37
-10 0 18 fa0c21
-9 0 18 f3a4a4
-8 0 18 f3a4a4
-12 1 18 668a37
-11 1 18 668a37
-9 1 18 fa0c21
-10 2 18 668a37
-10 0 19 fa0c21
-9 0 19 f3a4a4
-8 0 19 f3a4a4
-9 1 19 fa0c21
